,text
878,"The Western Conservation Foundation works to build leaders to protect the West’s land, air, and water. This renewal grant will enable the foundation to continue to engage diverse stakeholders, to educate the public and policymakers through outreach to the media, and to collaborate with an array of other conservation organizations in support of its goals. Western ConservationFor General Operating Support"
879,"The Pew Trusts’ Western Public Lands Campaign works to build strong local support for policies that protect the public lands of the West. This renewal grant will support the trusts’ efforts to conserve millions of acres of roadless public land deserving protection. The campaign provides state-based land conservation projects with expertise in campaign planning and design, policy research, strategic communications, public opinion research, and public education and outreach. Western ConservationFor Support Of The Western Public Lands Protection Campaign"
880,"Arizona’s Sonoran Desert is home to some of the most diverse animal and plant species in western North America. This renewal grant will support the Sonoran Institute’s efforts to secure policies that will better protect public land and free-flowing rivers, and promote the development of carefully sited renewable energy projects. The institute will use funds from the grant to educate federal and state policymakers and engage a broad array of constituencies. Western ConservationFor The Sun Corridor Legacy Program"
881,"The New Venture Fund’s Western Energy Project seeks to protect ecologically important public lands in the Rocky Mountain West that are threatened by fossil energy leasing and development. This renewal grant will support the project’s efforts to secure oil and gas leasing plans in four Western states, finalize a rule that captures at least 50 percent of fugitive methane emissions from existing and future sources, and ensure implementation of a West-wide plan to protect 36 million acres of critical sage grouse habitat from the impacts of energy development. Western ConservationFor The Western Energy Project"
882,   For The Implementation Of Transport Commitments After Paris Project
883,   For Board Development And Fundraising
884,"TransFormCA works to create world-class public transportation and walkable communities. This grant would support ClimatePlan, a program that convenes and coordinates efforts to reduce carbon emissions from transportation and land-use planning in California through the implementation of Sustainable Community Strategies in five metropolitan regions: the San Francisco Bay Area, Sacramento, San Joaquin Valley, Los Angeles, and San Diego. The focus for this coming year is preparing the next set of long-term greenhouse gas reduction targets, taking into account equity issues and underserved communities in the state.  For The ClimatePlan Program"
885,"This will fund the Green Supply Chain Management (GSCM) project of the South China Environmental Foundation (SCEF), a program of the Guangzhou-based Harmony Foundation. GSCM is a market-based mechanism to decarbonize the supply chain of the world’s largest manufacturing and export hub, the Pearl River Delta. The project, the first Hewlett collaboration with a Chinese foundation, will help Chinese NGOs and research institutions apply international best practices for supply chains, which were developed by the U.S.-based Environmental Defense Fund, and advance widespread adoption of a China Green Supply Index by industries and government.  For Green Supply Chain Management In The Pearl River Delta, South China"
886,"This grant will fund Prayas’ work to develop sustainable and affordable energy solutions for India’s poor and residential consumers. Prayas works with state electricity boards (utilities), the Ministry of Power and Renewable Energy and Indian state governments to promote low carbon, clean energy solutions. This project seeks to develop policy and regulatory solutions to expand solar energy to the 400 million Indians without electricity. The project also aims to promote codes, standards and utility demand side management programs to facilitate the adoption of super-efficient technology in newly electrified low and medium income households.  For Research On Enhancing Energy Security In India Through Energy Efficiency And Renewable Energy"
887,"With these grant funds, the Energy Internet Research Institute of China’s Tsinghua University will develop a policy roadmap and provide technical support to achieve the goal of delivering 100 percent of Sichuan’s electricity through carbon-free sources by 2025. Sichuan is the most populous province in China, with more than 85 million people. It is rapidly developing, has extensive renewable energy resources and is adjacent to the coal-rich Western provinces. Serious progress toward 100 percent carbon-free electricity generation in Sichuan would be an important model for other provinces. This initiative is part of the climate collaboration announced by the presidents Obama and Xi in the summer of 2015. The State of Washington and the University of Washington are supporting Sichuan and Tsinghua with technical support, modeling, and high-level exchanges.  For The Clean Energy Sichuan Project"
888,"   For Organizational Diversity, Equity, And Inclusion Work"
889,"The Institute for Transportation and Development Policy works around the world to design and implement high-quality transport systems and policy solutions that make cities more livable, equitable, and sustainable. The institute also works to scale up sound urban planning policies in India, China, and Latin America, in ways that reduce greenhouse gas emissions and advance economic development and quality of life.  For General Operating Support"
890,  Western ConservationFor Strategic Planning For The Western Energy Project's HECHO Program
891,"This grant will support the Energy Foundation’s U.S. Transportation Program with the goal of reducing carbon emissions from vehicles and accelerating the transition to electric drive vehicles. Important policy milestones for this work in 2016 are the completion of emissions standards for trucks, and preliminary work to ensure car emission standards remain strong through an upcoming mandated federal policy review. In addition, the grant will support efforts to develop utility, state, and federal policies that encourage electric vehicle infrastructure and drive down costs.  For Support Of The Transportation Program"
892,"The Regulatory Assistance Project provides technical assistance to utility and environmental regulators to facilitate the adoption of clean-energy policies. It is composed of former regulators, who leverage their expertise with advocates to promote sustainable low-carbon power sector development in the U.S., China, India, Europe, and Latin America. In Europe, their focus is developing power markets that reward emission-free generation. In China, they are key advisors to our grantees and the government on reforming how clean power is brought onto the grid; and in India, they are working with regulators and grantees to reduce emissions and increase energy access.  For General Operating Support"
893,"The Clean Air Task Force focuses on mitigating CO2 by promoting Carbon Capture and Storage (CCS) policies, low-carbon energy innovation, renewable energy, and nuclear power. The Task Force also focuses on high-potency pollutants like methane and black carbon. It is working to ensure implementation of EPA’s rule requiring new coal-fired power plants to be equipped with CCS, and are helping advance CCS in China. The Task Force’s approach to clean power complements our grants to organizations focused primarily on efficiency and renewable energy, and provides key points of contact with conservative and industry energy advocates.  For Carbon Capture And Storage Work"
894,"This grant will allow the Energy Foundation to develop strategies, make grants, and monitor and evaluate progress toward cleaner energy in the U.S. The Energy Foundation will re-grant to a broad array of organizations, including technical and policy experts and influential constituencies working to build support for a clean-energy economy.  For General Operating Support"
895,"The New Venture Fund’s Moving Beyond Oil project aims to contribute to the reduction of oil use and to the transition to clean-energy alternatives in the transportation sector in the United States. After the Climate Agreement in Paris, there is even more consensus that in order to keep climate mitigation goals on track, a reduction of about 50 percent in oil use by 2030 is necessary. This year’s priorities include the integration of clean transportation policies in key states, such as California, with the prevention of new infrastructure for high-carbon oil development.  For The Moving Beyond Oil Project"
896,"Asset Owners Disclosure Project works to educate long-term investors about their carbon risk. The goal of the Environmental Ratings Project is to shift investment behavior from the short to long term, which will result in more investments that achieve positive environmental impacts. This goal will be achieved by compiling and disseminating information about how institutional investors are managing their climate risk, showing the leaders and laggards. The index creates peer pressure for funds to improve, resulting in less carbon-intensive investments.  For The Environmental Ratings Project"
897,"The Carbon Tracker Initiative aims to raise awareness about the financial risks associated with fossil fuel investments. This grant will provide general operating support to the organization for carrying out its core functions, including producing financial analysis of the coal, gas, and oil industries. The initiative provides alternative assumptions about the future of energy, based on a two-degree scenario, allowing financial decision makers to challenge the flows of capital going into high-cost, high-carbon projects, and redirect these funds to less carbon intensive solutions.  For General Operating Support"
898,   For The International Climate And Energy Campaign
899,"Recognizing that more than 65 percent of African-Americans live within 30 miles of a coal plant, and that low-income communities and communities of color are disproportionately affected by climate change, the NAACP created the Environmental and Climate Justice Program in 2010. The aims of the program are to reduce harmful pollutants that harm community health and advance climate change, as well as to promote public awareness of and engagement on energy efficiency and clean-energy policies and practices. This grant will provide general support for the program.  For The Environmental And Climate Justice Program"
900,   For Support Of The Coal Impact Project
901,The Hip Hop Caucus is a U.S.-focused organization that principally mobilizes young people for climate action and social justice using culture—such as music and poetry—paired with activism. The Caucus will carry out a People’s Climate Music campaign to build momentum for clean energy and other solutions to climate change.  For The People's Climate Music Campaign
902,This grant will support Harvard Law School in providing guidance on Clean Air Act legal frameworks to state regulators who are designing compliance plans to meet federal clean power goals. State regulators can benefit from both technical and legal guidance offered by trusted academic experts.  For The Environmental Law Program
903,   For The Air Quality Reform Project
904,"This grant will support NRDC’s U.S. Clean Energy Program, which employs legal, policy, and communications efforts to reduce global warming emissions and other harmful impacts of mining, drilling, and burning fossil fuels. In the United States, the program will focus predominately on implementing carbon pollution standards at the state level, ensuring the responsible development of large-scale renewable energy, and reducing methane emissions from oil and gas production. NRDC will also conduct a comprehensive planning effort to improve diversity, equity, and inclusion within the organization. Western ConservationFor Support Of The Clean Energy Program"
905,   For The Building Equity And Alignment Initiative
906,"With these grant funds, the Energy Innovation Reform Project seeks to educate policymakers on the need to change outdated rules at the Nuclear Regulatory Commission and the Department of Energy that hinder research and development about the feasibility of smaller, safer nuclear reactors. Through this work, the project hopes to engage policymakers that may be skeptical about the need for climate policy on the rationale for increased research on the next generation of carbon-free nuclear technologies. In doing so, the organization seeks to create more engagement in advancing clean-energy solutions.  For The Nuclear Reform Project"
907,"This grant will support NRDC’s growing clean-energy programs in China and India. In China, NRDC is leading the effort to institute a cap on coal consumption. The organization is also advancing reforms in the power sector to promote low-carbon electricity, efficient appliances and reduced F gases. The India office is just getting started and is working with policymakers to improve air quality, increase appliance efficiency and reduce F gases.  For Clean Energy In China And India"
908,"The Sierra Club’s Beyond Coal Campaign is focused on reducing global warming emissions and other air pollutants by transitioning away from fossil-fired electricity and toward clean-energy sources in the United States. Over the next few years, cleaner energy sources are expected to continue their downward cost trend, making them more often the cheaper option compared to coal. The campaign is designed to highlight the public benefits of cleaner energy sources and mobilize an array of resources to hasten the transition to a clean-energy future.  For The Beyond Coal Campaign"
909,"Fossil fuel companies are waging concerted PR campaigns, attempting to raise concerns among low-income communities and people of color about potential increases in electricity and transportation costs. Green For All, an initiative of Dream Corps, works to ensure that climate and clean-energy policies are well-designed and deliver economic, job creation, and public health benefits equitably. This grant will support the organization’s engagement of communities of color in shaping strong Clean Power Plan state compliance plans. Green For All will specifically draw on efforts that have already been successful in some states.  For Communications And Organizing Efforts In Support Of Implementing State Clean Power Policies"
910,   For Strategic Planning And Fundraising
911,   For Communications And Fundraising Improvements
912,   For Strategic Planning
913,   For New Leadership On Climate
914,   For A Digital Outreach And Communications Strategy
915,   For Strengthening Leadership And Management Capacity
916,This grant will support the Center’s work to provide state regulators in the Midwest with the technical and analytic resources they need to move forward with Clean Power Plan compliance plans. This funding will also provide support for convening national workshops on compliance options.  For Support Of The Energy Project
917,"The Latin America Regional Climate Initiative (LARCI) in Mexico is a collaboration with ClimateWorks Foundation, Oak Foundation, and the Children’s Investment Fund Foundation. LARCI Mexico is a convener and strategic regranter with the goal of reducing carbon emissions and promoting growth in the country. This grant will support LARCI Mexico’s mobility and transportation work. Strategies include creating transit-oriented plans to improve urban mobility in large cities, enhance vehicle efficiency standards, and reduce subsidies on fossil fuels.  For Support Of LARCI Mexico"
918,"Trips for Kids has provided mountain biking outings, job training, and environmental education to underserved youth in the San Francisco Bay Area since 1989. They team up with community and government agencies to operate three programs: (a) Earn-a-Bike, which teaches kids from low-income communities practical bike repair skills, life skills, and job skills, while earning bikes of their own; (b) Mountain Bike Rides, which provides outdoor adventures for underserved kids six days a week, year round, in state and national parks; and (c) the Re-Cyclery bike thrift shop, which refurbishes and sells used bikes, parts, and accessories. During the two-year grant period, Trips for Kids plans to serve more than 5,000 youth, with an average 150 days of outdoor activities and 500 Earn-a-Bike classes a year.  For General Operating Support"
919,The Public Policy Institute of California provides the public and decision makers with timely and scientifically sound information and policy recommendations on issues affecting California and the West. This grant will support the Institute’s Water Policy Center and its goal of providing policy recommendations to the public and state and federal decision makers on actions that can be taken to improve water policy in the face of the current drought. Western ConservationFor Support Of The Water Policy Center
920,"The New Venture Fund’s Salmon State program seeks to secure state and federal policies in Alaska to protect the most important salmon spawning watersheds in the state. The program will engage scientists to understand which watersheds are most critical for salmon; educate state and federal decision makers on its findings; and build support among commercial and sport fishermen, Native American tribes, and the public. The program will also provide timely and relevant information to the media that cover salmon issues in Alaska, Canada, and the lower-forty-eight. Western ConservationFor The Salmon State Project"
921,"Trout Unlimited advocates for policies and practices that support cold-water fisheries in the West and beyond. The drought in California has put tremendous stress on the state’s fish, with eighteen species teetering on the brink of extinction. This grant to Trout Unlimited will support its work to secure adequate flows of water in key California rivers and streams to maintain healthy fisheries. Trout Unlimited will seek new statewide policies and funding for instream flows in support of its goals. It will educate policymakers and the public on state fisheries’ needs and provide sound scientific research to help it achieve its river restoration priorities. Western ConservationFor Streamflow Restoration And Drought Resilience In California"
922,"Several major land, water, and energy policies affecting Western public lands are likely to be finalized over the next year. This grant to the Western Conservation Foundation will support its work to empower local organizations seeking to educate policymakers on the value of protecting Western lands and waterways, and to provide the media with educational materials on the need to protect priority areas.  For The Foundation's Land, Water, And Energy Program"
923,"Bay Area Wilderness Training, a program fiscally sponsored by Earth Island, provides low-income, at-risk urban youth with the skills and resources necessary for camping and wilderness experiences. They work with youth workers and teachers in after-school programs, school districts, community centers, and a wide array of social service agencies to reach youth from different neighborhoods, and cultural and economic backgrounds. Their programs will get 8,000 youth outdoors. The trainings offered to adults from youth-serving organizations and schools include a five-day Wilderness Leadership Training course, Frontcountry Leadership Training program, and Camping at the Presidio program.  For The Bay Area Wilderness Training Program"
924,"This grant will support the European Climate Foundation’s International Energy Program, which works to share lessons learned in Europe with developing countries. The program uses research, education, networking, and convening to support local efforts throughout the world to reduce dependence on coal and other high-emission sources of electricity. In addition, the program seeks to educate investors, development agencies, and NGOs globally about the risks surrounding development of high-emission sources of electricity in the developing world.  For The International Energy Program"
925,"The Clean Power, Clean Air, Cleaner Communities campaign is a national effort by local environmental justice groups to promote healthier communities through increased use of energy efficiency, renewable energy, and decreased reliance on fossil fuels. Funding from the Hewlett Foundation will support West Harlem Environmental Action’s Federal Policy Office to connect environmental justice groups with state policymakers, with the aim of ensuring that vulnerable communities are a part of state energy policy debates and implementation plans.  For The Clean Power, Clean Air, Cleaner Communities Campaign"
926,"The Asian Pacific Environmental Network helps low-income Asian and Pacific Islander American immigrant and working communities to secure a clean and healthy environment. The organization mobilizes communities in the Bay Area through grassroots organizing, policy education, and civic engagement to advance California and the country on a path toward environmental and climate justice. With this support, the network will pursue efforts to ensure low-income communities have access to low-cost renewable energy, affordable housing, and green jobs.  For General Operating Support"
927,"The Non-Profit Housing Association of Northern California is a grassroots membership association working toward affordable housing for low-income people in the Bay Area. The organization is part of the Great Communities Collaborative, a joint effort to implement low-carbon and equitable transit-oriented development in the area. During the grant period, the Association will work to ensure the successful implementation of Plan Bay Area, which seeks to reduce greenhouse gas emissions through transit-oriented development and affordable housing near transit and jobs.  For The Sustainable Communities Strategies Program"
928,This grant will help fund the Open Space Actions effort to provide an institutional framework for collaboration among key conservation players in the Bay Area to help protect the 3.6 million-acre greenbelt of natural and agricultural lands currently in existence.  For The Bay Area Open Spaces Project
929,"The goal of the Desert Rivers Initiative is to ensure that the Upper Santa Cruz and Colorado rivers, which flow through Arizona and Mexico, are maintained and restored with water flows and habitat that sustain a diversity of wildlife and resilient human communities in the face of climate change. The Sonoran Institute will work to preserve and enhance river flows, ensure that water is used for the environment and community well-being, and build a broad base of support for river conservation and restoration. Western ConservationFor The Desert Rivers Initiative"
930,"Backcountry Hunters and Anglers represents sporting men and women who value human-powered sporting opportunities. This general operating support renewal grant will&nbsp;support the organization’s work to protect high quality hunting and fishing habitat, oppose the sale or transfer of public land, limit the misuse of off-road vehicles on public land, and ensure responsible energy development. Western ConservationFor General Operating Support"
931,"This renewal grant will continue support for the New Venture Fund’s Center for Western Priorities. The Center is a West-wide communications effort designed to educate the media, public, and decision makers about the impacts of fossil energy development on public lands. The Center builds relationships with reporters, draws from the best polling to craft persuasive messages, rapidly responds to arguments advocating for the elimination of public land protections, steadily generates reports and news, and enlists a broad array of westerners as spokespeople. The Center also works closely with conservation organizations across the West to fill gaps in communications capacities. Western ConservationFor Support Of The Center For Western Priorities"
932,"This renewal grant will support Colorado College’s annual State of the Rockies poll, an Intermountain-wide bipartisan poll of attitudes toward energy development and land conservation on public lands. This public poll has been conducted annually since 2011 and has become a very effective tool in communicating the attitudes of Westerners to policymakers. Western ConservationFor Public Opinion Research"
933,"This renewal grant to the Institute for Fisheries Resources will support its efforts to remove four dams on the Klamath River that have blocked salmon from migrating upstream to spawning grounds. The Klamath River once hosted the third-largest runs of salmon on the West Coast. To secure dam removal, the Institute will work to implement an agreement signed by farmers, ranchers, Native American tribes, and fishing interests in the region. The agreement seeks to meet current water needs related to Native American tribes, agriculture, and fish restoration in the Klamath watershed and once dams are removed. Western ConservationFor The Klamath Salmon Restoration Project"
934,"Rising seawater associated with climate change poses one of the biggest threats to those who live close to the shore of the San Francisco Bay. One of the best strategies to mitigate the impacts of sea level rise is to restore the wetlands that have been converted to salt ponds around the Bay. This supplemental grant to the Resources Legacy Fund will be used to educate the public on the value of salt pond restoration for flood control and habitat, and identify policy options available to accomplish the work.  For The San Francisco Bay Public Education Campaign"
935,The Hispanic community is a growing and influential constituency in the West. This renewal grant to the Hispanic Access Foundation will support its continued efforts to engage the Latino community in support of policies that better protect Western public lands. The Hispanic Access Foundation will particularly target policies that reduce the expansion of oil and gas development on public lands and promote new protections for ecologically important land. Western ConservationFor Building Support For A Balance Between Development And Land Protection
936,"Plug In America is an association of businesses and advocates that work to accelerate the shift to plug-in vehicles powered by clean electricity to reduce dependence on oil and improve the global environment. With this continued support, Plug In America will work in key states, those with Zero Emissions Mandates or other Electric Drive policies, to support their implementation with timely information to policymakers. At the same time, Plug in America will conduct extensive outreach to target audiences in those states, and support events such as the National Electric Drive week.  For General Operating Support"
937,"Much of the West is public land, but private ranches and farms are often located in ecologically important river valleys. The Sand County Foundation works with farmers, ranchers, and foresters to improve the quality of their lands through science, ethics, and incentives. This general support grant to the Foundation will support its efforts to work with landowners, communities, and public land agencies in the West to incentivize habitat protection. Western ConservationFor General Operating Support"
938,"The Latin America Regional Climate Initiative (LARCI) in Mexico is a collaboration with ClimateWorks Foundation, Oak Foundation, and the Children’s Investment Fund Foundation. LARCI Mexico is a convener and strategic regranter with the goal of reducing carbon emissions and promoting growth in the country. This grant will support LARCI Mexico’s mobility and transportation work. Strategies include creating transit-oriented plans to improve urban mobility in large cities, enhance vehicle efficiency standards, and reduce subsidies on fossil fuels.  For Support Of LARCI Mexico"
939,"The Coalition for Clean Air is a California-based environmental advocacy organization leading the work to reduce pollution from freight and goods movement in the state. With this grant, the Coalition will continue to support their Zero Emissions Freight Transportation Program and the Charge Ahead Initiative, promoting and developing specific freight mitigation measures together with other coalition partners, port and member communities and allied organizations. They target clean freight policies to reduce carbon dioxide and black carbon emissions including electric drive technologies, infrastructure improvements, and improvements on logistics. One of the priority venues is the California Air Resource Board’s Freight Strategy.  For The Zero-ing In On Freight And Charge Ahead Programs"
940,"The International Council on Clean Transportation aims to provide regulators and other key stakeholders with research and analysis to enact policies that cut emissions from vehicles, protect public health, and minimize climate change. The organization will work toward the adoption of advanced fuel economy standards for cars and trucks to reduce their fuel consumption in key regions such as the United States, Europe and China. Additional work will focus on implementation of zero emissions vehicle mandates in the United States and adoption and implementation of pollution controls for cars and trucks in China, India, and Mexico, and for ships globally.  For General Operating Support"
941,"The Partnership Project provides funding to a coalition of environmental, health, and labor groups working to support and strengthen federal regulations to reduce methane emissions from oil and gas production in the United States. The federal government is developing regulations to cut methane emissions by 40 to 45 percent by 2025. Methane accounts for nearly 10 percent of U.S. climate emissions, and is up to 80 times more potent than carbon. Limiting methane pollution is an essential part of any comprehensive strategy to tackle climate change.  For Reducing Methane Emissions From Oil And Gas Production"
942,"The government of China is proposing to move carbon intensive industries and coal-fired power generation out of the Eastern provinces and into the less-developed, environmentally sensitive Western provinces. This project seeks to create and expand tools for state planners, academics, and NGOs to quantify the water risks and trade-offs that come with developing Western China’s massive coal reserves. Often the Chinese government will approve coal projects without adequate information on the supply of water needed for the project. Through this grant, the World Resources Institute will also promote the concept of tying new coal projects in water-stressed areas to comprehensive environmental impact reviews.  For Water Use And Climate Change In Western China"
943,"The Fossil Fuel Reduction project is a multi-funder and multi-year project of the New Venture Fund. Its purpose is to reduce the impacts on people, wildlife, water, soil, and air from the development of unconventional types of oil. The extraction and processing of unconventional oils in North America have high carbon intensity and other environmental and human impacts. To ensure that atmospheric concentrations of carbon not exceed 450 parts per million, about two-thirds of oil reserves should be kept in the ground.  For The Fossil Fuel Reduction Project"
944,  Western ConservationFor Developing A Communications Plan
945,  Western ConservationFor The West National Parks Energy Program
946,"The Resources Legacy Fund works to conserve and restore natural landscapes, open spaces, and parks in California and the western United States, developing new sources of conservation funding, and strengthening conservation policies, among other conservation initiatives. This general support grant will aid the organization in achieving its goals. This Presidential Discretionary grant was awarded in late 2015.  For General Operating Support"
947,"This grant will fund the U.S. National Renewable Energy Laboratory for its part of a collaborative project with the State Grid Corporation of China (SGCC). The two organizations signed a first ever MOU designed to draw on the Laboratory’s electricity grid modeling and design expertise, as SGCC expands efforts to develop a modern grid capable of incorporating high levels of renewable energy.  For State Grid Engagement"
948,  Western ConservationFor Fundraising Development
949,This grant will support the Energy Foundation’s re-granting program for organizations focused on climate and clean-energy-related communications efforts.  For The Strategic Communications Program
950,"The World Resources Institute will conduct state and national analyses on the economic, electricity reliability, and environmental impacts of compliance with the Clean Power Plan. They will work with partners and stakeholders to disseminate their findings and inform policy debates. They will also develop a policy roadmap for reaching the U.S. climate goals in 2020 and 2025 on the way toward a carbon-neutral economy by mid-century.  For The US Climate Initiative Program"
951,"The R Street Institute is a nonpartisan think tank whose mission is to promote free markets and limited, effective government. The Institute’s Clean Energy Innovation Program will further define and advance an energy-innovation agenda based on conservative principles. R Street Institute will conduct research, publish findings, host symposiums, and network with other conservative organizations.  For Advancing A Free-market Clean Energy Agenda"
952,  Western ConservationFor Technology Review And Upgrade To TU's Donor Software And Database
953,"This general support grant will allow the BlueGreen Alliance Foundation to continue helping labor and environmental organizations speak with a united voice on climate and energy policy issues. In 2016, the Alliance will work with its members and allies in select states to promote clean energy policies that can be used to comply with the Clean Power Plan while simultaneously creating good, green jobs.  For General Operating Support"
954,"This grant will enable the Education Fund to continue improving its organizational systems, staffing, and governance structures to become more effective in achieving its goal of building support for clean energy and other climate change solutions. The Education Fund works with a broad array of organizations and constituencies in pursuit of policies that improve the quality of California’s air and water and reduce global warming emissions.  For General Operating Support"
955,  Western ConservationFor The Water Funders Initiative
956,   For Technology Planning And New CRM
957,"Oceana’s mission is to protect and restore the world’s oceans. Oceans are an important part of the earth’s ecosystems and they play a vital role in absorbing carbon dioxide and regulating climate. With this support, Oceana will advance strategies to protect oceans, in particular curbing pollution and reducing offshore oil drilling, setting reasonable fishing quotas and reducing industrial overfishing, and protecting marine habitat. Oceana works in the United States, Europe, Chile, Brazil, the Philippines, Canada, and Peru, which together control approximately 40 percent of the wild fish catch.  For General Operating Support"
958,"The Institute for Climate and Society evolved from the Latin America Regional Climate Initiative in Brazil, as a result of the collaboration with ClimateWorks Foundation, Oak Foundation, and the Children’s Investment Fund Foundation. The Institute has established itself as in country convener, coordinator and re-granter for climate mitigation efforts around clean energy in Brazil. This grant through the ClimateWorks Foundation seeks to support the Institute’s capacity to build local philanthropic support. In particular, the grant will also strengthen strategies and grantees working to improve mobility and reduce transportation emissions.  For Support Of Brazil's Institute For Climate And Society"
959,   For An Energy Reform Summit
960,   For The Global Subsidies Initiative
961,The Solar Foundation will conduct their annual National Solar Jobs Census as part of a broad survey of clean energy jobs in the United States. The report will be used by a number of audiences in debates on policies that reduce global warming emissions by replacing fossil fuels with cleaner fuels like solar and wind.  For A National Clean Energy Jobs Census
962,   For Support Of A Climate Rally With Pope Francis
963,  Western ConservationFor A Director Of Strategic Communications Search
964,  Western ConservationFor Executive Director Training
965,   For The Aligned Intermediary's Exploration Period
966,   For Support Of The Sustainable Development Program
967,"The China Sustainable Cities Initiative (CSCI), a program of the Energy Foundation China, aims to reduce carbon emissions and air pollution from transportation in new and existing Chinese cities. There is a unique opportunity to assist China with developing sustainable urban policies and regulations to impact the largest urban landscape as a result of the most massive rural-to-urban human migration in history. CSCI’s strategy is to conduct targeted pilot projects that spark the design and adoption of effective national policy while building technical capacity to scale up. With renewed funding in 2015, CSCI will focus primarily on national policy and training and communication as the country prepares for the 13th Five Year Plan.  For The China Sustainable Cities Initiative"
968,  Western ConservationFor General Operating Support
969,"The Hip Hop Caucus is a national organization that mobilizes young people and others for climate action and social justice using music, movie, and other pop culture leaders. The Caucus will carry out a People’s Climate Music campaign to support climate action in the United States and globally.  For The People's Climate Music Campaign"
970,"The Center for the National Interest (formerly the Nixon Center) is the fiscal sponsor for the Energy Innovation Reform Project, which will identify policies that are consistent with conservative principles and values that accelerate clean energy technology, develop strategies to build support for policy adoption, and conduct extensive outreach among conservative leaders and the public on clean energy issues. Hewlett shares the belief that a conservative coalition focused on advancing clean energy policies could accelerate policy improvement on clean energy in America.  For The Energy Innovation Reform Project"
971,"The mission of World Resources Institute's Sustainable urban mobility program (Embarq) is to implement policies that create more prosperous, livable cities. This grant will support WRI's Embarq India Mobility Innovation project. The goal is to catalyze enterprise-led solutions to problems of mobility and access in Indian cities.  India's urban population will be about 600 million by 2030, and transportation is the fastest growing sector in carbon emissions. In addition to advocating for having good policies in place, WRI is proposing to work to scale up private sector innovation and addressing barriers for different transportation modes and providing low carbon options to millions of urban citizens.  For EMBARQ India Mobility Innovation Project"
972,"The goal of this proposal is to research the efficacy of scaling Carbon Capture and Storage (CCS) in key states as well create the analytical framework to allow policy makers to determine if increased federal support for CCS research, development and deployment is warranted. CCS is an important component of most climate models - including the Intergovernmental Panel on Climate Change and International Energy Agency - if a two degree goal is to be met. CCS is happening currently at a small scale mostly around ethanol, chemicals and natural gas processing. Eight organizations are collaborating with the Institute at the state and federal level to create CCS ""Hubs"" in key states in an effort to get a critical mass of projects moving in order to reduce the cost of emission capture and sequestration. At the federal level, they are working with the Department of Energy (DOE) to create the case for incentives to use CO2 from industrial and power generation emissions instead of CO2 that is mined from the ground to increase the productivity of existing oil wells via Enhanced Oil Recovery (EOR.) Establishing cost competitive CCS will be vital in India and China.  For Carbon Capture And Storage: A U.S. Strategy To Support Deployment"
973,"NRDC is part of a broad coalition of organizations working to demonstrate public support for curbing methane pollution from oil and gas production and advocate for strong methane regulations at the state and federal level. Over the next year, NRDC will contribute technical and legal analyses to key rulemakings, and will engage in advocacy and communications efforts to build public support.  For Support Of The Clean Energy Program"
974,   For The Sustainable Community Strategy Project
975,  Western ConservationFor Supporting A Grantee Leadership Transition
976,"The Green Diversity Initiative will implement a Readiness, Recruitment, and Retention program to support the nation’s most influential environmental organizations in their efforts to become more diverse and inclusive. The program includes producing a report and hosting a series of forums for sharing best practices, sharing the findings, and connecting organizations with diversity and search experts that will improve organizations’ knowledge on how to attract, hire and retain diverse senior staff or board talent. The overall goal is to address both supply and demand challenges affecting diversity within environmental groups.  For Support Of Green 2.0"
977,   For The Achieving Clean Energy Goals Through The High-Road Implementation Project
978,"Land use—from deforestation, land degradation, and the draining and burning of tropical peatlands, to fertilizer application and rice and cattle production—is responsible for about 25 percent of human-related greenhouse gas emissions. More effective land use protects the climate by reducing carbon emissions and preserving nature’s vital carbon sinks. This program grant will support ClimateWorks Foundation’s Global Forests and Land Use campaign, through the Climate and Land Use Alliance. The goal is to realize the potential of forested and agricultural landscapes to mitigate climate change, benefit people, and protect the environment, primarily in Indonesia, Brazil, and MesoAmerica.  For The Climate And Land Use Alliance Program"
979,"The Institute works around the world to design and implement high quality transport systems and policy solutions that make cities more livable, equitable, and sustainable. The organization’s priority in the coming months is to support specific cities in India, China, Brazil, Mexico and Indonesia, to develop policies and budgeting practices that explicitly favor low carbon and equitable transport modes. Globally, the Institute works to provide information on how transport projects are financed and seeks to build support from national governments, multilateral organizations and international banks.  For General Operating Support"
980,"The Eno Center for Transportation is a think tank on transportation policy in the United States with the mission of increasing mobility, safety and sustainability. This grant will support a new initiative, the Digital Cities project, which seeks to understand and communicate the potential outcomes of creating policies that are friendly to technological innovation in transportation. The private sector is optimizing the use of data and technology to provide mobility choices. These tools can be transferred to or modified to be relevant in, the public sector to provide better transportation options and integrated choices to urban populations.  For The Digital Cities Project"
981,"Rocky Mountain Institute is a leading technical think tank on energy and transportation issues globally. With this support, the Institute will develop and implement an all-new mobility paradigm in a major U.S. city. The Institute will select the city and work with the required agencies and departments. The paradigm shift is transitioning away from a transportation system based on fossil-fueled personal vehicles to a mobility system that delivers a variety of shared, electrified, and automated mobility options. The main outcome will be the roadmap, policies and actions, for the implementation of this vision in the selected city. The results will be shared to other cities around the world through a global engagement platform.  For A Project To Implement A New Mobility Vision In The United States"
